device,vlan name,switch:port number,tag
 IO038SW1-IC4,NetMgmt,3:48,untagged
 IO038SW1-IC4,NetMgmt,4:17,untagged
 IO038SW1-IC4,NetMgmt,4:18,untagged
 IO038SW1-IC4,NetMgmt,4:19,untagged
 IO038SW1-IC4,NetMgmt,4:20,untagged
 IO038SW1-IC4,NetMgmt,4:21,untagged
 IO038SW1-IC4,NetMgmt,4:22,untagged
 IO038SW1-IC4,NetMgmt,4:23,untagged
 IO038SW1-IC4,NetMgmt,4:24,untagged
 IO038SW1-IC4,NetMgmt,4:25,untagged
 IO038SW1-IC4,NetMgmt,4:26,untagged
 IO038SW1-IC4,NetMgmt,4:27,untagged
 IO038SW1-IC4,NetMgmt,4:28,untagged
 IO038SW1-IC4,NetMgmt,4:30,untagged
 IO038SW1-IC4,Security,4:1,untagged
 IO038SW1-IC4,Security,4:2,untagged
 IO038SW1-IC4,Security,4:3,untagged
 IO038SW1-IC4,Students1,1:1,untagged
 IO038SW1-IC4,Students1,1:2,untagged
 IO038SW1-IC4,Students1,1:3,untagged
 IO038SW1-IC4,Students1,1:4,untagged
 IO038SW1-IC4,Students1,1:5,untagged
 IO038SW1-IC4,Students1,1:6,untagged
 IO038SW1-IC4,Students1,1:7,untagged
 IO038SW1-IC4,Students1,1:8,untagged
 IO038SW1-IC4,Students1,1:9,untagged
 IO038SW1-IC4,Students1,1:10,untagged
 IO038SW1-IC4,Students1,1:11,untagged
 IO038SW1-IC4,Students1,1:12,untagged
 IO038SW1-IC4,Students1,1:13,untagged
 IO038SW1-IC4,Students1,1:14,untagged
 IO038SW1-IC4,Students1,1:15,untagged
 IO038SW1-IC4,Students1,1:16,untagged
 IO038SW1-IC4,Students1,1:17,untagged
 IO038SW1-IC4,Students1,1:18,untagged
 IO038SW1-IC4,Students1,1:19,untagged
 IO038SW1-IC4,Students1,1:20,untagged
 IO038SW1-IC4,Students1,1:21,untagged
 IO038SW1-IC4,Students1,1:22,untagged
 IO038SW1-IC4,Students1,1:23,untagged
 IO038SW1-IC4,Students1,1:24,untagged
 IO038SW1-IC4,Students1,1:25,untagged
 IO038SW1-IC4,Students1,1:26,untagged
 IO038SW1-IC4,Students1,1:27,untagged
 IO038SW1-IC4,Students1,1:28,untagged
 IO038SW1-IC4,Students1,1:30,untagged
 IO038SW1-IC4,Students1,1:32,untagged
 IO038SW1-IC4,Students1,1:34,untagged
 IO038SW1-IC4,Students1,1:36,untagged
 IO038SW1-IC4,Students1,1:37,untagged
 IO038SW1-IC4,Students1,1:38,untagged
 IO038SW1-IC4,Students1,1:39,untagged
 IO038SW1-IC4,Students1,1:40,untagged
 IO038SW1-IC4,Students1,1:41,untagged
 IO038SW1-IC4,Students1,1:42,untagged
 IO038SW1-IC4,Students1,1:43,untagged
