device,vlan name,switch:port number,tag
50_Rochester_MDF,AP_50,50,tagged
50_Rochester_MDF,AP_50,50,tagged
50_Rochester_MDF,AP_50,50,untagged
50_Rochester_MDF,AP_50,1,untagged
50_Rochester_MDF,AP_50,2,untagged
50_Rochester_MDF,AP_50,3,untagged
50_Rochester_MDF,AP_50,4,untagged
50_Rochester_MDF,AP_50,5,untagged
50_Rochester_MDF,AP_50,6,untagged
50_Rochester_MDF,AP_50,7,untagged
50_Rochester_MDF,AP_50,8,untagged
50_Rochester_MDF,AP_50,9,untagged
50_Rochester_MDF,AP_50,10,untagged
50_Rochester_MDF,AP_50,11,untagged
50_Rochester_MDF,AP_50,12,untagged
50_Rochester_MDF,AP_50,13,untagged
50_Rochester_MDF,AP_50,14,untagged
50_Rochester_MDF,AP_50,15,untagged
50_Rochester_MDF,AP_50,16,untagged
50_Rochester_MDF,AP_50,17,untagged
50_Rochester_MDF,AP_50,18,untagged
50_Rochester_MDF,AP_50,19,untagged
50_Rochester_MDF,AP_50,20,untagged
50_Rochester_MDF,AP_50,21,untagged
50_Rochester_MDF,AP_50,22,untagged
50_Rochester_MDF,AP_50,23,untagged
50_Rochester_MDF,AP_50,24,untagged
50_Rochester_MDF,AP_50,25,untagged
50_Rochester_MDF,AP_50,26,untagged
50_Rochester_MDF,AP_50,27,untagged
50_Rochester_MDF,AP_50,28,untagged
50_Rochester_MDF,AP_50,29,untagged
50_Rochester_MDF,AP_50,30,untagged
50_Rochester_MDF,AP_50,31,untagged
50_Rochester_MDF,AP_50,32,untagged
50_Rochester_MDF,AP_50,33,untagged
50_Rochester_MDF,AP_50,34,untagged
50_Rochester_MDF,AP_50,35,untagged
50_Rochester_MDF,AP_50,36,untagged
50_Rochester_MDF,AP_50,37,untagged
50_Rochester_MDF,AP_50,38,untagged
50_Rochester_MDF,AP_50,39,untagged
50_Rochester_MDF,AP_50,40,untagged
50_Rochester_MDF,AP_50,41,untagged
50_Rochester_MDF,AP_50,42,untagged
50_Rochester_MDF,AP_50,43,untagged
50_Rochester_MDF,AP_50,44,untagged
50_Rochester_MDF,AP_50,45,untagged
50_Rochester_MDF,AP_50,46,untagged
50_Rochester_MDF,AP_50,47,untagged
50_Rochester_MDF,AP_50,48,untagged
50_Rochester_MDF,Camera,50,tagged
50_Rochester_MDF,Faculty,50,tagged
50_Rochester_MDF,NEC,50,tagged
50_Rochester_MDF,NetMgmt,50,tagged
50_Rochester_MDF,NoLoop,1,tagged
50_Rochester_MDF,NoLoop,2,tagged
50_Rochester_MDF,NoLoop,3,tagged
50_Rochester_MDF,NoLoop,4,tagged
50_Rochester_MDF,NoLoop,5,tagged
50_Rochester_MDF,NoLoop,6,tagged
50_Rochester_MDF,NoLoop,7,tagged
50_Rochester_MDF,NoLoop,8,tagged
50_Rochester_MDF,NoLoop,9,tagged
50_Rochester_MDF,NoLoop,10,tagged
50_Rochester_MDF,NoLoop,11,tagged
50_Rochester_MDF,NoLoop,12,tagged
50_Rochester_MDF,NoLoop,13,tagged
50_Rochester_MDF,NoLoop,14,tagged
50_Rochester_MDF,NoLoop,15,tagged
50_Rochester_MDF,NoLoop,16,tagged
50_Rochester_MDF,NoLoop,17,tagged
50_Rochester_MDF,NoLoop,18,tagged
50_Rochester_MDF,NoLoop,19,tagged
50_Rochester_MDF,NoLoop,20,tagged
50_Rochester_MDF,NoLoop,21,tagged
50_Rochester_MDF,NoLoop,22,tagged
50_Rochester_MDF,NoLoop,23,tagged
50_Rochester_MDF,NoLoop,24,tagged
50_Rochester_MDF,NoLoop,25,tagged
50_Rochester_MDF,NoLoop,26,tagged
50_Rochester_MDF,NoLoop,27,tagged
50_Rochester_MDF,NoLoop,28,tagged
50_Rochester_MDF,NoLoop,29,tagged
50_Rochester_MDF,NoLoop,30,tagged
50_Rochester_MDF,NoLoop,31,tagged
50_Rochester_MDF,NoLoop,32,tagged
50_Rochester_MDF,NoLoop,33,tagged
50_Rochester_MDF,NoLoop,34,tagged
50_Rochester_MDF,NoLoop,35,tagged
50_Rochester_MDF,NoLoop,36,tagged
50_Rochester_MDF,NoLoop,37,tagged
50_Rochester_MDF,NoLoop,38,tagged
50_Rochester_MDF,NoLoop,39,tagged
50_Rochester_MDF,NoLoop,40,tagged
50_Rochester_MDF,NoLoop,41,tagged
50_Rochester_MDF,NoLoop,42,tagged
50_Rochester_MDF,NoLoop,43,tagged
50_Rochester_MDF,NoLoop,44,tagged
50_Rochester_MDF,NoLoop,45,tagged
50_Rochester_MDF,NoLoop,46,tagged
50_Rochester_MDF,NoLoop,47,tagged
50_Rochester_MDF,NoLoop,48,tagged
50_Rochester_MDF,NoLoop,50,tagged
50_Rochester_MDF,Print,50,tagged
50_Rochester_MDF,Printer,50,tagged
50_Rochester_MDF,Student,50,tagged
50_Rochester_MDF,unauthenticated,50,tagged
50_Rochester_MDF,Video,50,tagged
50_Rochester_MDF,Voice,50,tagged
