device,vlan name,switch number,port number,tag
IO038SW1-IC1, Administration1,1:54,tagged
IO038SW1-IC1, Chromebook,1:54,tagged
IO038SW1-IC1, Chromebook,2:1,tagged
IO038SW1-IC1, Chromebook,2:2,tagged
IO038SW1-IC1, Chromebook,2:3,tagged
IO038SW1-IC1, Chromebook,2:5,tagged
IO038SW1-IC1, Chromebook,2:7,tagged
IO038SW1-IC1, Chromebook,2:9,tagged
IO038SW1-IC1, guestwireless,1:54,tagged
IO038SW1-IC1, guestwireless,2:1,tagged
IO038SW1-IC1, guestwireless,2:2,tagged
IO038SW1-IC1, guestwireless,2:3,tagged
IO038SW1-IC1, guestwireless,2:5,tagged
IO038SW1-IC1, guestwireless,2:7,tagged
IO038SW1-IC1, guestwireless,2:9,tagged
IO038SW1-IC1, Kronos,1:54,tagged
IO038SW1-IC1, Lab1,1:54,tagged
IO038SW1-IC1, Lab2,1:54,tagged
IO038SW1-IC1, MediaCenter1,1:54,tagged
IO038SW1-IC1, NetMgmt,1:54,tagged
IO038SW1-IC1, NetMgmt,2:1,untagged
IO038SW1-IC1, NetMgmt,2:2,untagged
IO038SW1-IC1, NetMgmt,2:3,untagged
IO038SW1-IC1, NetMgmt,2:5,untagged
IO038SW1-IC1, NetMgmt,2:7,untagged
IO038SW1-IC1, NetMgmt,2:9,untagged
IO038SW1-IC1, NetMgmt,2:48,untagged
IO038SW1-IC1, No_Loop,1:1,tagged
IO038SW1-IC1, No_Loop,1:2,tagged
IO038SW1-IC1, No_Loop,1:3,tagged
IO038SW1-IC1, No_Loop,1:4,tagged
IO038SW1-IC1, No_Loop,1:5,tagged
IO038SW1-IC1, No_Loop,1:6,tagged
IO038SW1-IC1, No_Loop,1:7,tagged
IO038SW1-IC1, No_Loop,1:8,tagged
IO038SW1-IC1, No_Loop,1:9,tagged
IO038SW1-IC1, No_Loop,1:10,tagged
IO038SW1-IC1, No_Loop,1:11,tagged
IO038SW1-IC1, No_Loop,1:12,tagged
IO038SW1-IC1, No_Loop,1:13,tagged
IO038SW1-IC1, No_Loop,1:14,tagged
IO038SW1-IC1, No_Loop,1:15,tagged
IO038SW1-IC1, No_Loop,1:16,tagged
IO038SW1-IC1, No_Loop,1:17,tagged
IO038SW1-IC1, No_Loop,1:18,tagged
IO038SW1-IC1, No_Loop,1:19,tagged
IO038SW1-IC1, No_Loop,1:20,tagged
IO038SW1-IC1, No_Loop,1:21,tagged
IO038SW1-IC1, No_Loop,1:22,tagged
IO038SW1-IC1, No_Loop,1:23,tagged
IO038SW1-IC1, No_Loop,1:24,tagged
IO038SW1-IC1, No_Loop,1:25,tagged
IO038SW1-IC1, No_Loop,1:26,tagged
IO038SW1-IC1, No_Loop,1:27,tagged
IO038SW1-IC1, No_Loop,1:28,tagged
IO038SW1-IC1, No_Loop,1:29,tagged
IO038SW1-IC1, No_Loop,1:30,tagged
IO038SW1-IC1, No_Loop,1:31,tagged
IO038SW1-IC1, No_Loop,1:32,tagged
IO038SW1-IC1, No_Loop,1:33,tagged
IO038SW1-IC1, No_Loop,1:34,tagged
IO038SW1-IC1, No_Loop,1:35,tagged
IO038SW1-IC1, No_Loop,1:36,tagged
IO038SW1-IC1, No_Loop,1:37,tagged
IO038SW1-IC1, No_Loop,1:38,tagged
IO038SW1-IC1, No_Loop,1:39,tagged
IO038SW1-IC1, No_Loop,1:40,tagged
IO038SW1-IC1, No_Loop,1:41,tagged
IO038SW1-IC1, No_Loop,1:42,tagged
IO038SW1-IC1, No_Loop,1:43,tagged
IO038SW1-IC1, No_Loop,1:44,tagged
IO038SW1-IC1, No_Loop,1:45,tagged
IO038SW1-IC1, No_Loop,1:46,tagged
IO038SW1-IC1, No_Loop,1:47,tagged
IO038SW1-IC1, No_Loop,1:48,tagged
IO038SW1-IC1, No_Loop,1:54,tagged
IO038SW1-IC1, No_Loop,2:1,tagged
IO038SW1-IC1, No_Loop,2:2,tagged
IO038SW1-IC1, No_Loop,2:3,tagged
IO038SW1-IC1, No_Loop,2:4,tagged
IO038SW1-IC1, No_Loop,2:5,tagged
IO038SW1-IC1, No_Loop,2:6,tagged
IO038SW1-IC1, No_Loop,2:7,tagged
IO038SW1-IC1, No_Loop,2:8,tagged
IO038SW1-IC1, No_Loop,2:9,tagged
IO038SW1-IC1, No_Loop,2:10,tagged
IO038SW1-IC1, No_Loop,2:11,tagged
IO038SW1-IC1, No_Loop,2:12,tagged
IO038SW1-IC1, No_Loop,2:13,tagged
IO038SW1-IC1, No_Loop,2:14,tagged
IO038SW1-IC1, No_Loop,2:15,tagged
IO038SW1-IC1, No_Loop,2:16,tagged
IO038SW1-IC1, No_Loop,2:17,tagged
IO038SW1-IC1, No_Loop,2:18,tagged
IO038SW1-IC1, No_Loop,2:19,tagged
IO038SW1-IC1, No_Loop,2:20,tagged
IO038SW1-IC1, No_Loop,2:21,tagged
IO038SW1-IC1, No_Loop,2:22,tagged
IO038SW1-IC1, No_Loop,2:23,tagged
IO038SW1-IC1, No_Loop,2:24,tagged
IO038SW1-IC1, No_Loop,2:25,tagged
IO038SW1-IC1, No_Loop,2:26,tagged
IO038SW1-IC1, No_Loop,2:27,tagged
IO038SW1-IC1, No_Loop,2:28,tagged
IO038SW1-IC1, No_Loop,2:29,tagged
IO038SW1-IC1, No_Loop,2:30,tagged
IO038SW1-IC1, No_Loop,2:31,tagged
IO038SW1-IC1, No_Loop,2:32,tagged
IO038SW1-IC1, No_Loop,2:33,tagged
IO038SW1-IC1, No_Loop,2:34,tagged
IO038SW1-IC1, No_Loop,2:35,tagged
IO038SW1-IC1, No_Loop,2:36,tagged
IO038SW1-IC1, No_Loop,2:37,tagged
IO038SW1-IC1, No_Loop,2:38,tagged
IO038SW1-IC1, No_Loop,2:39,tagged
IO038SW1-IC1, No_Loop,2:40,tagged
IO038SW1-IC1, No_Loop,2:41,tagged
IO038SW1-IC1, No_Loop,2:42,tagged
IO038SW1-IC1, No_Loop,2:43,tagged
IO038SW1-IC1, No_Loop,2:44,tagged
IO038SW1-IC1, No_Loop,2:45,tagged
IO038SW1-IC1, No_Loop,2:46,tagged
IO038SW1-IC1, No_Loop,2:47,tagged
IO038SW1-IC1, No_Loop,2:48,tagged
IO038SW1-IC1, Security,1:54,tagged
IO038SW1-IC1, Security,1:46,untagged
IO038SW1-IC1, Security,1:47,untagged
IO038SW1-IC1, staffwireless,1:54,tagged
IO038SW1-IC1, staffwireless,2:1,tagged
IO038SW1-IC1, staffwireless,2:2,tagged
IO038SW1-IC1, staffwireless,2:3,tagged
IO038SW1-IC1, staffwireless,2:5,tagged
IO038SW1-IC1, staffwireless,2:7,tagged
IO038SW1-IC1, staffwireless,2:9,tagged
IO038SW1-IC1, StaffWirelessDPI,1:54,tagged
IO038SW1-IC1, StaffWirelessDPI,2:1,tagged
IO038SW1-IC1, StaffWirelessDPI,2:2,tagged
IO038SW1-IC1, StaffWirelessDPI,2:3,tagged
IO038SW1-IC1, StaffWirelessDPI,2:5,tagged
IO038SW1-IC1, StaffWirelessDPI,2:7,tagged
IO038SW1-IC1, StaffWirelessDPI,2:9,tagged
IO038SW1-IC1, Streaming,1:54,tagged
IO038SW1-IC1, Streaming,2:1,tagged
IO038SW1-IC1, Streaming,2:2,tagged
IO038SW1-IC1, Streaming,2:3,tagged
IO038SW1-IC1, Streaming,2:5,tagged
IO038SW1-IC1, Streaming,2:7,tagged
IO038SW1-IC1, Streaming,2:9,tagged
IO038SW1-IC1, Students1,1:54,tagged
IO038SW1-IC1, Students1,1:2,untagged
IO038SW1-IC1, Students1,1:3,untagged
IO038SW1-IC1, Students1,1:4,untagged
IO038SW1-IC1, Students1,1:5,untagged
IO038SW1-IC1, Students1,1:6,untagged
IO038SW1-IC1, Students1,1:7,untagged
IO038SW1-IC1, Students1,1:8,untagged
IO038SW1-IC1, Students1,1:9,untagged
IO038SW1-IC1, Students1,1:10,untagged
IO038SW1-IC1, Students1,1:11,untagged
IO038SW1-IC1, Students1,1:12,untagged
IO038SW1-IC1, Students1,1:13,untagged
IO038SW1-IC1, Students1,1:14,untagged
IO038SW1-IC1, Students1,1:15,untagged
IO038SW1-IC1, Students1,1:16,untagged
IO038SW1-IC1, Students1,1:17,untagged
IO038SW1-IC1, Students1,1:18,untagged
IO038SW1-IC1, Students1,1:19,untagged
IO038SW1-IC1, Students1,1:20,untagged
IO038SW1-IC1, Students1,1:21,untagged
IO038SW1-IC1, Students1,1:22,untagged
IO038SW1-IC1, Students1,1:23,untagged
IO038SW1-IC1, Students1,1:24,untagged
IO038SW1-IC1, Students1,1:25,untagged
IO038SW1-IC1, Students1,1:26,untagged
IO038SW1-IC1, Students1,1:27,untagged
