device,vlan name,switch:port number,tag
,Kronos,3:13,untagged
,Lab1,3:1,untagged
,Lab1,3:2,untagged
,Lab1,3:3,untagged
,Lab1,3:4,untagged
,Lab1,3:5,untagged
,Lab1,3:6,untagged
,Lab1,3:7,untagged
,Lab1,3:8,untagged
,Lab1,3:9,untagged
,Lab1,3:10,untagged
,Lab1,3:11,untagged
,Lab1,3:12,untagged
,Lab1,3:14,untagged
,Lab1,3:16,untagged
,Lab1,3:17,untagged
,Lab1,3:18,untagged
,Lab1,3:19,untagged
,Lab1,3:20,untagged
,Lab1,3:21,untagged
,Lab1,3:22,untagged
,Lab1,3:23,untagged
,Lab1,3:24,untagged
,Lab1,3:25,untagged
,Lab1,3:26,untagged
,Lab1,3:29,untagged
,Lab1,3:30,untagged
,Lab1,3:31,untagged
,Lab1,3:32,untagged
,Lab1,3:33,untagged
,Lab1,3:34,untagged
,Lab1,3:35,untagged
,Lab1,3:36,untagged
,Lab1,3:37,untagged
,Lab1,3:38,untagged
,Lab1,3:42,untagged
,Lab1,3:43,untagged
,Lab1,3:44,untagged
,Lab1,3:45,untagged
,Lab1,3:46,untagged
,Lab1,3:47,untagged
,NetMgmt,1:5,untagged
,NetMgmt,1:6,untagged
,NetMgmt,1:7,untagged
,NetMgmt,1:8,untagged
,NetMgmt,1:9,untagged
,NetMgmt,1:10,untagged
,NetMgmt,1:11,untagged
,NetMgmt,1:12,untagged
,NetMgmt,1:42,untagged
,NetMgmt,1:43,untagged
,NetMgmt,1:44,untagged
,NetMgmt,1:45,untagged
,NetMgmt,1:46,untagged
,NetMgmt,2:1,untagged
,NetMgmt,2:48,untagged
,Security,1:4,untagged
,Security,1:47,untagged
,Security,1:48,untagged
,Security,3:48,untagged
,Students1,1:2,untagged
,Students1,1:3,untagged
,Students1,1:13,untagged
,Students1,1:14,untagged
,Students1,1:15,untagged
,Students1,1:16,untagged
,Students1,1:17,untagged
,Students1,1:18,untagged
,Students1,1:19,untagged
,Students1,1:20,untagged
,Students1,1:21,untagged
,Students1,1:22,untagged
,Students1,1:23,untagged
,Students1,1:24,untagged
,Students1,1:25,untagged
,Students1,1:26,untagged
,Students1,1:27,untagged
,Students1,1:28,untagged
,Students1,1:29,untagged
,Students1,1:30,untagged
,Students1,1:31,untagged
,Students1,1:32,untagged
,Students1,1:34,untagged
,Students1,1:36,untagged
,Students1,1:38,untagged
,Students1,1:40,untagged
,Students1,2:3,untagged
,Students1,2:5,untagged
,Students1,2:6,untagged
,Students1,2:7,untagged
,Students1,2:8,untagged
,Students1,2:9,untagged
,Students1,2:10,untagged
,Students1,2:11,untagged
,Students1,2:13,untagged
,Students1,2:14,untagged
,Students1,2:15,untagged
,Students1,2:16,untagged
,Students1,2:17,untagged
,Students1,2:18,untagged
,Students1,2:19,untagged
,Students1,2:20,untagged
,Students1,2:22,untagged
,Students1,2:23,untagged
,Students1,2:24,untagged
,Students1,2:25,untagged
,Students1,2:26,untagged
,Students1,2:27,untagged
,Students1,2:28,untagged
,Students1,2:29,untagged
,Students1,2:30,untagged
,Students1,2:31,untagged
,Students1,2:32,untagged
,Students1,2:33,untagged
,Students1,2:34,untagged
,Students1,2:35,untagged
,Students1,2:36,untagged
,Students1,2:37,untagged
,Students1,2:38,untagged
,Students1,2:39,untagged
,Video1,1:1,untagged
,Video1,1:33,untagged
,Video1,1:35,untagged
,Video1,1:37,untagged
,Video1,1:39,untagged
,Video1,1:41,untagged
,Video1,2:2,untagged
,Video1,2:4,untagged
,Video1,2:12,untagged
,Video1,2:21,untagged
,Video1,2:40,untagged
,Video1,2:41,untagged
,Video1,2:42,untagged
,Video1,2:43,untagged
,Video1,2:44,untagged
,Video1,2:45,untagged
,Video1,2:46,untagged
,Video1,2:47,untagged
,Video1,3:15,untagged
,Video1,3:27,untagged
,Video1,3:28,untagged
,Video1,3:39,untagged
,Video1,3:40,untagged
,Video1,3:41,untagged
